firstname,lastname,email,password,phone_number,whatsapp_number,bussiness_name,description,category,mon_fri_start,mon_fri_end,sat_start,sat_end,sun_start,sun_end,lat,lon,location,image_names
Patricia,Lewis,patricialewis@gmail.com,4mgCIm&j&d,7942694066,8639773539,GV Mall Nandyala,"Wheelchair-accessible entrance,In-store shopping",shopping,09:30,21:30:00,09:30,21:30:00,09:30,21:30:00,15.4832815,78.485849,"Door No 2/414-E, Srinivas Nagar, Nandyala Near Raj Therater Edc Road, Sanjeev Nagar-518501",['patricialewis_img1.jpg', 'patricialewis_img2.jpg']
Gregory,Jones,gregoryjones@gmail.com,*69*H)nsy&,7942694066,7942694066,CMR Shopping Mall,CMR Shopping Mall offers top-quality services in shopping.,shopping,09:30,21:30:00,09:30,21:30:00,09:30,21:30:00,15.4859337,78.4842216,"FFPM+9MH, Telugu Peta, Nandyala, Andhra Pradesh 518501",['gregoryjones_img1.jpg', 'gregoryjones_img2.jpg']
Richard,Garcia,richardgarcia@gmail.com,!*Q_3qJxzn,7285966408,7285966408,Sree Veerabhadra swamy Shopping Mall,Sree Veerabhadra swamy Shopping Mall offers top-quality services in shopping.,shopping,07:00:00,23:00:00,09:30,21:30:00,09:30,21:30:00,15.4876294,78.478775,"Atmakur Rd, Sanjeev Nagar, Nandyala, Andhra Pradesh 518501",['richardgarcia_img1.jpg', 'richardgarcia_img2.jpg']
Sarah,Hopkins,sarahhopkins@gmail.com,p&U6GDPaRW,7285966408,7285966408,CP Complex,CP Complex offers top-quality services in shopping.,shopping,10:00:00,21:30:00,09:30,21:30:00,09:30,21:30:00,15.4863166,78.4859709,"FFPP+GC8, near srinivasa centre, Telugu Peta, Nandyala, Andhra Pradesh 518501",['sarahhopkins_img1.jpg', 'sarahhopkins_img2.jpg']
Courtney,Taylor,courtneytaylor@gmail.com,_3929XiZu_,7013747176,7013747176,Happy Mobiles & Electronics,Happy Mobiles & Electronics offers top-quality services in electronics.,electronics,10:00:00,22:00:00,09:30,21:30:00,09:30,21:30:00,15.486326,78.4859542,"Shop No. 17, CP Complex, NK Rd, beside Ramnath Theatre, Srinivasa Nagar, Nandyala, Andhra Pradesh 518501",['courtneytaylor_img1.jpg', 'courtneytaylor_img2.jpg']
Christy,Hamilton,christyhamilton@gmail.com,*0Hr1$jvyv,7013747176,7013747176,GEETHA COMPUTERS,GEETHA COMPUTERS offers top-quality services in electronics.,electronics,07:30:00,21:00:00,09:30,21:30:00,09:00:00,17:00:00,15.4861056,78.4852086,"25/518 UPSTAIRS, Srinivasa Nagar, Nandyala, Andhra Pradesh 518501",['christyhamilton_img1.jpg', 'christyhamilton_img2.jpg']
Michael,Cobb,michaelcobb@gmail.com,a%p#8JbmhQ,7942696220,9396667728,Yodhasree Technologies Authorised Service Centers,Yodhasree Technologies Authorised Service Centers offers top-quality services in electronics.,electronics,10:00:00,18:00:00,09:30,21:30:00,00:00,00:00,15.4863563,78.4857976,"Shop No 116, 117, Srinivasa center, CP Complex, Telugu Peta, Nandyala, Andhra Pradesh 518501",['michaelcobb_img1.jpg', 'michaelcobb_img2.jpg']
Courtney,Smith,courtneysmith@gmail.com,(b3Mhoya#P,9866295006,9866295006,Uday Computers,Uday Computers offers top-quality services in electronics.,electronics,10:00:00,22:00:00,09:30,21:30:00,00:00,00:00,15.4857425,78.4859168,"Shop no:-16, Srinivas Centre, Sowjanya Complex, beside Ramnath Theatre, Telugu Peta, Nandyala, Andhra Pradesh 518501",['courtneysmith_img1.jpg', 'courtneysmith_img2.jpg']
Rose,Cox,rosecocx@gmail.com,kp^(3kQVX),8657591290,8657591290,HP World - Nandyal,HP World - Nandyal offers top-quality services in electronics.,electronics,09:00:00,21:00:00,00:00,00:00,09:00:00,21:00:00,15.485814,78.4850684,"srinivas centre, No 25/512, Shop No 7, JK Complex, beside Canara Bank, Srinivasa Nagar, Nandyala, Andhra Pradesh 518501",['rosecox_img1.jpg', 'rosecox_img2.jpg']
Jeremy,Murray,jeremymurray@gmail.com,(_wV&3Rsf_,9010206062,9010206062,SRI MARUTHI TEXTILE AND MATCHING CENTRE,SRI MARUTHI TEXTILE AND MATCHING CENTRE offers top-quality services in clothing.,clothing,10:00:00,21:00:00,00:00,00:00,10:00:00,14:00:00,15.485344,78.4808775,"M H SCHOOL ROAD 4/442, Nandyala, Andhra Pradesh 518501",['jeremymurray_img1.jpg', 'jeremymurray_img2.jpg']
Samantha,Gibson,samanthagibson@gmail.com,t@W7iWk1B*,9989636456,9989636456,Anjani Saree Centre,Anjani Saree Centre offers top-quality services in clothing.,clothing,09:00:00,20:30:00,00:00,00:00,09:00:00,14:00:00,15.4897669,78.4851311,"Municipal School Road, D.No: 4/516 C, Byrmal St, Telugu Peta, Nandyala, Andhra Pradesh 518501",['samanthagibson_img1.jpg', 'samanthagibson_img2.jpg']
Lisa,Farrell,lisafarrell@gmail.com,bp1vPbHlq&,7947111360,9290461070,Sri Ramanjaneya matching centre,Sri Ramanjaneya matching centre offers top-quality services in clothing.,clothing,10:00:00,21:00:00,00:00,00:00,10:00:00,15:00:00,15.4905925,78.4851495,"4-440, Sri Potti Sriramulu Colony, Srinivasa Nagar, Nandyala, Andhra Pradesh 518501",['lisafarrell_img1.jpg', 'lisafarrell_img2.jpg']
Christopher,Osborne,christopherosborne@gmail.com,m5%3BEN8_Q,7947111360,7947111360,Aarnika Silks,Aarnika Silks offers top-quality services in clothing.,clothing,10:00:00,21:00:00,00:00,00:00,10:00:00,15:00:00,15.4868056,78.4866174,"153, NK Rd, Telugu Peta, Nandyala, Andhra Pradesh 518501",['christopherosborne_img1.jpg', 'christopherosborne_img2.jpg']
Tyler,Joseph,tylerjoseph@gmail.com,v&4M9DrDPw,7337341372,7337341372,Venkat Vishal kennel,Venkat Vishal kennel offers top-quality services in pet care.,pet care,01:00,21:00:00,00:00,00:00,10:00:00,15:00:00,15.4740589,78.4963082,"SBI Colony, Nandyala, Andhra Pradesh 518501",['tylerjoseph_img1.jpg', 'tylerjoseph_img2.jpg']
Jesse,Evans,jesseevans@gmail.com,Vi2Fl&nC*9,7947421863,7382596029,"DR.VET PET CLINIC, GROOMING,SPA AND DIAGNOSTICS","DR.VET PET CLINIC, GROOMING,SPA AND DIAGNOSTICS offers top-quality services in pet care.",pet care,09:30:00,21:30:00,00:00,00:00,10:00:00,21:00:00,15.4711613,78.4825739,"Sai Baba nagar, Nandyala, Andhra Pradesh 518502",['jesseevans_img1.jpg', 'jesseevans_img2.jpg']
Randy,Bennett,randybennett@gmail.com,76XOFsue!I,7947421863,7947421863,The pet projects,The pet projects offers top-quality services in pet care.,pet care,10:00:00,19:00:00,00:00,00:00,00:00,21:00:00,15.4832741,78.4732616,"25/417B, Saleem Nagar, Sanjeev Nagar, Srinivasa Nagar, Nandyala, Andhra Pradesh 518501",['randybennett_img1.jpg', 'randybennett_img2.jpg']
David,Hardy,davidhardy@gmail.com,70Y19gQg(L,7337341372,7337341372,PetMagic Grooming Studio,PetMagic Grooming Studio offers top-quality services in pet care.,pet care,09:00:00,21:00:00,00:00,00:00,00:00,21:00:00,15.4579705,78.4797865,"KMP super market, Shop no 4,SR 1 nagar, oppo, Rythunagaram, Nandyala, Andhra Pradesh 518502",['davidhardy_img1.jpg', 'davidhardy_img2.jpg']
